"","time","avg","sd"
"102",102,49.4782608695652,26.7043812790143
"103",103,49.8521739130435,26.8733869354882
"104",104,49.9086956521739,26.4759166010036
"105",105,49.8652173913043,26.5672765308555
"106",106,49.8478260869565,26.7326790768274
"107",107,49.8217391304348,26.6590711684567
"108",108,50.0521739130435,26.8465942732859
"109",109,50.3739130434783,27.05177338247
"110",110,50.5260869565217,26.9320139914253
"111",111,50.9565217391304,26.942893288693
"112",112,51.1826086956522,27.529446753973
"113",113,51.2173913043478,27.8645452859846
"114",114,51.7739130434783,27.9953398709539
"115",115,51.6869565217391,28.2893240521157
"116",116,51.5130434782609,28.1092271342603
"117",117,51.3434782608696,27.9999894898133
"118",118,52.0565217391304,27.9377243525192
"119",119,52.0521739130435,27.9415620617383
"120",120,51.4739130434783,27.5149299272359
"121",121,50.2869565217391,27.7288068385219
"122",122,48.5695652173913,28.3987811839857
"123",123,47.5695652173913,28.7695547286732
"124",124,47.7304347826087,28.6835837714899
"125",125,47.5391304347826,29.008743436197
"126",126,47.7217391304348,28.6994812503023
"127",127,47.4391304347826,28.3998775926145
"128",128,47.604347826087,28.366826345382
"129",129,47.6086956521739,28.2801628291804
"130",130,47.7652173913043,27.8013321394826
"131",131,48.2086956521739,27.8497201234591
"132",132,49.2913043478261,28.2660073757108
"133",133,49.3434782608696,28.199528102945
"134",134,49.9,28.0435329085204
"135",135,50.0260869565217,28.3576536712601
"136",136,50.0391304347826,28.553225242162
"137",137,50.1086956521739,28.370773648561
"138",138,50.4782608695652,28.3868620285308
"139",139,50.2608695652174,28.2073071014063
"140",140,49.9695652173913,27.9833689657762
"141",141,49.7,27.8713748695306
"142",142,49.2913043478261,27.9240612942425
"143",143,48.8913043478261,28.2964872454336
"144",144,48.4652173913043,28.2460509848854
"145",145,47.9,27.9941275813214
"146",146,47.7304347826087,28.1801198900107
"147",147,46.9130434782609,28.1597331571664
"148",148,47.2521739130435,28.2934848235963
"149",149,47.1434782608696,28.4628207056391
"150",150,46.9391304347826,28.1501857887163
"151",151,47.3608695652174,27.9118268453209
"152",152,48.4695652173913,27.9687354269404
"153",153,48.9434782608696,27.5449822832443
"154",154,48.6826086956522,27.5156033887359
"155",155,48.904347826087,27.4595292240417
